,Distrito,Área (km²),População (2010),Densidade Demográfica (Hab/km²)
1,Aricanduva,"6,60",89.622,13.579
2,Carrão,"7,50",83.281,11.104
3,Vila Formosa,"7,40",94.799,12.811
4,Butantã,"12,50",54.196,4.336
5,Morumbi,"11,40",46.957,4.119
6,Raposo Tavares,"12,60",100.164,7.950
7,Rio Pequeno,"9,70",118.459,12.212
8,Vila Sônia,"9,90",108.441,10.954
9,Campo Limpo,"12,80",211.361,16.513
10,Capão Redondo,"13,60",268.729,19.759
11,Vila Andrade,"10,30",127.015,12.332
12,Cidade Dutra,"29,30",196.360,6.702
13,Grajaú,"92,00",360.787,3.922
14,Socorro,12.90,37.783,2.929
15,Cachoeirinha,"13,30",143.523,10.791
16,Casa Verde,"7,10",85.624,12.060
17,Limão,"6,30",80.229,12.735
18,Cidade Ademar,"12,00",266.681,22.223
19,Pedreira,"18,70",144.317,7.717
20,Cidade Tiradentes,"15,00",211.501,14.100
21,Ermelino Matarazzo,"8,70",113.615,13.059
22,Ponte Rasa,"6,40",93.894,14.671
23,Brasilândia,"21,00",264.918,12.615
24,Freguesia do Ó,"10,50",142.327,13.555
25,Lajeado,"9,20",164.512,12.093
26,Guaianases,"8,60",103.996,17.882
27,Cursino,"12,80",109.088,8.523
28,Ipiranga,"10,50",106.865,10.178
29,Sacomã,"14,20",247.851,17.454
30,Itaim Paulista,"12,00",224.074,18.673
31,Vila Curuçá,"9,70",149.053,15.366
32,Cidade Líder,"10,20",126.597,12.411
33,Itaquera,"14,60",204.871,14.032
34,José Bonifácio,"14,10",124.122,8.803
35,Parque do Carmo,"15,40",68.258,4.432
36,Jabaquara,"14,10",223.780,15.871
37,Jaçanã,"7,80",94.609,12.129
38,Tremembé,"56,30",197.258,3.504
39,Barra Funda,"5,60",14.383,2.568
40,Jaguara,"4,60",24.895,5.412
41,Jaguaré,"6,60",49.863,7.555
42,Lapa,"10,00",65.739,6.574
43,Perdizes,6.10,111.161,18.223
44,Vila Leopoldina,"7,20",39.485,5.484
45,Jardim Ângela,"37,40",295.434,7.899
46,Jardim São Luís,"24,70",267.871,10.845
47,Água Rasa,"6,90",84.963,12.313
48,Belém,"6,00",45.057,7.510
49,Brás,"3,50",29.265,8.361
50,Mooca,"7,70",75.724,9.834
51,Pari,"2,90",17.299,5.965
52,Tatuapé,"8,20",91.672,11.180
53,Marsilac,"200,00",8.258,41
54,Parelheiros,"153,50",131.183,855
55,Artur Alvim,"6,60",105.269,15.950
56,Cangaíba,"16,00",136.623,8.539
57,Penha,"11,30",127.820,11.312
58,Vila Matilde,"8,9",104.947,11.792
59,Anhanguera,"33,30",65.859,1.978
60,Perus,"23,90",80.187,3.355
61,Alto de Pinheiros,"7,70",43.117,5.600
62,Itaim Bibi,"9,90",92.570,9.351
63,Jardim Paulista,"6,10",88.692,14.540
64,Pinheiros,"8,00",65.364,8.171
65,Jaraguá,"27,60",184.818,6.696
66,Pirituba,"17,10",167.931,9.821
67,São Domingos,"10,00",84.843,8.484
68,Mandaqui,"13,10",107.580,8.212
69,Santana,"12,60",118.797,9.428
70,Tucuruvi,"9,00",98.438,10.938
71,Campo Belo,"8,80",65.752,7.472
72,Campo Grande,"13,10",100.713,7.688
73,Santo Amaro,"15,60",71.560,4.587
74,Iguatemi,"19,60",127.662,6.513
75,São Rafael,"13,00",143.992,11.934
76,São Mateus,"13,20",155.140,10.908
77,São Miguel,"7,50",92.081,12.277
78,Jardim Helena,"9,10",135.043,14.840
79,Vila Jacuí,"7,70",142.372,18.490
80,Sapopemba,"13,50",284.524,21.076
81,Bela Vista,"2,60",69.460,26.715
82,Bom Retiro,"4,00",33.892,"8,473"
83,Cambuci,"3,90",36.948,9.474
84,Consolação,"3,70",57.365,15.504
85,Liberdade,"3,70",69.092,18.674
86,República,"2,30",56.981,24.774
87,Santa Cecília,"3,90",83.717,"21,466"
88,Sé,"2,10",23.651,"11,262"
89,Vila Guilherme,"6,90",54.331,"7,874"
90,Vila Maria,"11,80",113.463,"9,616"
91,Vila Medeiros,"7,70",129.919,"16,873"
92,Moema,"9,00",83.368,"9,263"
93,Saúde,"8,90",130.780,"14,694"
94,Vila Mariana,"8,60",130.484,"15,173"
95,São Lucas,"9,90",142.347,"14,378"
96,Vila Prudente,"9,90",104.242,"10,529"
